"","participant","list","presentationorder","verb","frame","voice","polarity","conditional","veridicality","acceptability","nativeenglish","exclude","veridicality_num","conditional2","item"
"35",219,0,35,"forgive","that_S","active","positive","False","yes",4,"True","False",1,"matrix","forgive-that_S-active-positive-matrix"
"36",219,0,36,"dismay","that_S","passive","negative","False","yes",7,"True","False",1,"matrix","dismay-that_S-passive-negative-matrix"
"37",219,0,37,"bet","that_S","passive","negative","False","maybe",3,"True","False",0,"matrix","bet-that_S-passive-negative-matrix"
"38",219,0,38,"publicize","that_S","active","negative","False","yes",5,"True","False",1,"matrix","publicize-that_S-active-negative-matrix"
"39",219,0,39,"expose","that_S","active","positive","False","yes",5,"True","False",1,"matrix","expose-that_S-active-positive-matrix"
"40",219,0,40,"indicate","that_S","active","positive","False","yes",6,"True","False",1,"matrix","indicate-that_S-active-positive-matrix"
"41",219,0,41,"ruminate","that_S","active","positive","False","maybe",5,"True","False",0,"matrix","ruminate-that_S-active-positive-matrix"
"42",219,0,42,"forecast","that_S","active","negative","False","no",4,"True","False",-1,"matrix","forecast-that_S-active-negative-matrix"
"43",219,0,43,"inform","that_S","passive","positive","False","yes",6,"True","False",1,"matrix","inform-that_S-passive-positive-matrix"
"44",219,0,44,"circulate","that_S","active","negative","False","maybe",3,"True","False",0,"matrix","circulate-that_S-active-negative-matrix"
"45",219,0,45,"gall","that_S","passive","negative","False","maybe",3,"True","False",0,"matrix","gall-that_S-passive-negative-matrix"
"46",219,0,46,"terrify","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","terrify-that_S-passive-positive-matrix"
"47",219,0,47,"figure","that_S","active","positive","False","maybe",5,"True","False",0,"matrix","figure-that_S-active-positive-matrix"
"48",219,0,48,"alarm","that_S","passive","negative","False","yes",7,"True","False",1,"matrix","alarm-that_S-passive-negative-matrix"
"49",219,0,49,"remember","that_S","active","positive","False","yes",6,"True","False",1,"matrix","remember-that_S-active-positive-matrix"
"50",219,0,50,"reminisce","that_S","active","negative","False","maybe",5,"True","False",0,"matrix","reminisce-that_S-active-negative-matrix"
"51",219,0,51,"believe","that_S","active","positive","False","maybe",6,"True","False",0,"matrix","believe-that_S-active-positive-matrix"
"52",219,0,52,"clarify","that_S","active","positive","False","yes",5,"True","False",1,"matrix","clarify-that_S-active-positive-matrix"
"53",219,0,53,"fool","that_S","passive","positive","False","maybe",5,"True","False",0,"matrix","fool-that_S-passive-positive-matrix"
"54",219,0,54,"email","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","email-that_S-passive-positive-matrix"
"55",219,0,55,"apologize","that_S","active","negative","False","yes",6,"True","False",1,"matrix","apologize-that_S-active-negative-matrix"
"56",219,0,56,"devastate","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","devastate-that_S-passive-positive-matrix"
"57",219,0,57,"demonstrate","that_S","active","negative","False","no",5,"True","False",-1,"matrix","demonstrate-that_S-active-negative-matrix"
"58",219,0,58,"okay","that_S","active","positive","False","yes",3,"True","False",1,"matrix","okay-that_S-active-positive-matrix"
"59",219,0,59,"reassert","that_S","active","positive","False","yes",4,"True","False",1,"matrix","reassert-that_S-active-positive-matrix"
"60",219,0,60,"loathe","that_S","active","negative","False","maybe",3,"True","False",0,"matrix","loathe-that_S-active-negative-matrix"
"61",219,0,61,"scare","that_S","passive","negative","False","maybe",3,"True","False",0,"matrix","scare-that_S-passive-negative-matrix"
"62",219,0,62,"apologize","that_S","active","positive","False","yes",5,"True","False",1,"matrix","apologize-that_S-active-positive-matrix"
"63",219,0,63,"generalize","that_S","active","positive","False","maybe",3,"True","False",0,"matrix","generalize-that_S-active-positive-matrix"
"64",219,0,64,"omit","that_S","active","positive","False","no",6,"True","False",-1,"matrix","omit-that_S-active-positive-matrix"
"65",219,0,65,"affirm","that_S","active","positive","False","yes",7,"True","False",1,"matrix","affirm-that_S-active-positive-matrix"
"66",219,0,66,"warn","that_S","active","negative","False","maybe",2,"True","False",0,"matrix","warn-that_S-active-negative-matrix"
"67",219,0,67,"weep","that_S","active","positive","False","yes",6,"True","False",1,"matrix","weep-that_S-active-positive-matrix"
"68",219,0,68,"bark","that_S","active","negative","False","no",1,"True","False",-1,"matrix","bark-that_S-active-negative-matrix"
"69",135,0,1,"surmise","that_S","active","positive","False","maybe",4,"True","False",0,"matrix","surmise-that_S-active-positive-matrix"
"70",135,0,2,"update","that_S","active","positive","False","yes",6,"True","False",1,"matrix","update-that_S-active-positive-matrix"
"71",135,0,3,"disregard","that_S","active","negative","False","maybe",4,"True","False",0,"matrix","disregard-that_S-active-negative-matrix"
"72",135,0,4,"agree","that_S","active","positive","False","maybe",6,"True","False",0,"matrix","agree-that_S-active-positive-matrix"
"73",135,0,5,"surmise","that_S","active","negative","False","maybe",6,"True","False",0,"matrix","surmise-that_S-active-negative-matrix"
"74",135,0,6,"evaluate","that_S","active","positive","False","yes",6,"True","False",1,"matrix","evaluate-that_S-active-positive-matrix"
"75",135,0,7,"remind","that_S","passive","negative","False","yes",5,"True","False",1,"matrix","remind-that_S-passive-negative-matrix"
"76",135,0,8,"vow","that_S","active","positive","False","maybe",5,"True","False",0,"matrix","vow-that_S-active-positive-matrix"
"77",135,0,9,"sing","that_S","active","negative","False","maybe",1,"True","False",0,"matrix","sing-that_S-active-negative-matrix"
"78",135,0,10,"sob","that_S","active","positive","False","yes",6,"True","False",1,"matrix","sob-that_S-active-positive-matrix"
"79",135,0,11,"prove","that_S","active","negative","False","maybe",5,"True","False",0,"matrix","prove-that_S-active-negative-matrix"
"80",135,0,12,"rediscover","that_S","active","positive","False","yes",6,"True","False",1,"matrix","rediscover-that_S-active-positive-matrix"
"81",135,0,13,"ascertain","that_S","active","positive","False","yes",6,"True","False",1,"matrix","ascertain-that_S-active-positive-matrix"
"82",135,0,14,"communicate","that_S","active","positive","False","yes",7,"True","False",1,"matrix","communicate-that_S-active-positive-matrix"
"83",135,0,15,"depress","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","depress-that_S-passive-positive-matrix"
"84",135,0,16,"radio","that_S","passive","negative","False","yes",5,"True","False",1,"matrix","radio-that_S-passive-negative-matrix"
"85",135,0,17,"volunteer","that_S","active","positive","False","maybe",1,"True","False",0,"matrix","volunteer-that_S-active-positive-matrix"
"86",135,0,18,"deny","that_S","active","positive","False","maybe",6,"True","False",0,"matrix","deny-that_S-active-positive-matrix"
"87",135,0,19,"delight","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","delight-that_S-passive-positive-matrix"
"88",135,0,20,"ensure","that_S","active","negative","False","no",5,"True","False",-1,"matrix","ensure-that_S-active-negative-matrix"
"89",135,0,21,"jar","that_S","passive","negative","False","yes",6,"True","False",1,"matrix","jar-that_S-passive-negative-matrix"
"90",135,0,22,"find_out","that_S","active","negative","False","yes",6,"True","False",1,"matrix","find_out-that_S-active-negative-matrix"
"91",135,0,23,"dislike","that_S","active","negative","False","yes",7,"True","False",1,"matrix","dislike-that_S-active-negative-matrix"
"92",135,0,24,"disapprove","that_S","active","positive","False","yes",4,"True","False",1,"matrix","disapprove-that_S-active-positive-matrix"
"93",135,0,25,"forgive","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","forgive-that_S-passive-positive-matrix"
"94",135,0,26,"flip_out","that_S","active","positive","False","yes",6,"True","False",1,"matrix","flip_out-that_S-active-positive-matrix"
"95",135,0,27,"flatter","that_S","passive","positive","False","yes",5,"True","False",1,"matrix","flatter-that_S-passive-positive-matrix"
"96",135,0,28,"fake","that_S","active","positive","False","no",6,"True","False",-1,"matrix","fake-that_S-active-positive-matrix"
"97",135,0,29,"hearten","that_S","passive","negative","False","maybe",3,"True","False",0,"matrix","hearten-that_S-passive-negative-matrix"
"98",135,0,30,"imagine","that_S","active","negative","False","maybe",4,"True","False",0,"matrix","imagine-that_S-active-negative-matrix"
"99",135,0,31,"stimulate","that_S","passive","negative","False","yes",6,"True","False",1,"matrix","stimulate-that_S-passive-negative-matrix"
"100",135,0,32,"demand","that_S","active","positive","False","no",5,"True","False",-1,"matrix","demand-that_S-active-positive-matrix"
"101",135,0,33,"growl","that_S","active","negative","False","maybe",2,"True","False",0,"matrix","growl-that_S-active-negative-matrix"
"102",135,0,34,"ruminate","that_S","active","negative","False","maybe",5,"True","False",0,"matrix","ruminate-that_S-active-negative-matrix"
"103",135,0,35,"forgive","that_S","active","positive","False","yes",5,"True","False",1,"matrix","forgive-that_S-active-positive-matrix"
"104",135,0,36,"dismay","that_S","passive","negative","False","yes",5,"True","False",1,"matrix","dismay-that_S-passive-negative-matrix"
"105",135,0,37,"bet","that_S","passive","negative","False","maybe",4,"True","False",0,"matrix","bet-that_S-passive-negative-matrix"
"106",135,0,38,"publicize","that_S","active","negative","False","yes",6,"True","False",1,"matrix","publicize-that_S-active-negative-matrix"
"107",135,0,39,"expose","that_S","active","positive","False","yes",7,"True","False",1,"matrix","expose-that_S-active-positive-matrix"
"108",135,0,40,"indicate","that_S","active","positive","False","maybe",5,"True","False",0,"matrix","indicate-that_S-active-positive-matrix"
"109",135,0,41,"ruminate","that_S","active","positive","False","maybe",6,"True","False",0,"matrix","ruminate-that_S-active-positive-matrix"
"110",135,0,42,"forecast","that_S","active","negative","False","yes",7,"True","False",1,"matrix","forecast-that_S-active-negative-matrix"
"111",135,0,43,"inform","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","inform-that_S-passive-positive-matrix"
"112",135,0,44,"circulate","that_S","active","negative","False","maybe",5,"True","False",0,"matrix","circulate-that_S-active-negative-matrix"
"113",135,0,45,"gall","that_S","passive","negative","False","yes",5,"True","False",1,"matrix","gall-that_S-passive-negative-matrix"
"114",135,0,46,"terrify","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","terrify-that_S-passive-positive-matrix"
"115",135,0,47,"figure","that_S","active","positive","False","maybe",5,"True","False",0,"matrix","figure-that_S-active-positive-matrix"
"116",135,0,48,"alarm","that_S","passive","negative","False","yes",7,"True","False",1,"matrix","alarm-that_S-passive-negative-matrix"
"117",135,0,49,"remember","that_S","active","positive","False","yes",5,"True","False",1,"matrix","remember-that_S-active-positive-matrix"
"118",135,0,50,"reminisce","that_S","active","negative","False","yes",5,"True","False",1,"matrix","reminisce-that_S-active-negative-matrix"
"119",135,0,51,"believe","that_S","active","positive","False","maybe",5,"True","False",0,"matrix","believe-that_S-active-positive-matrix"
"120",135,0,52,"clarify","that_S","active","positive","False","yes",7,"True","False",1,"matrix","clarify-that_S-active-positive-matrix"
"121",135,0,53,"fool","that_S","passive","positive","False","no",7,"True","False",-1,"matrix","fool-that_S-passive-positive-matrix"
"122",135,0,54,"email","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","email-that_S-passive-positive-matrix"
"123",135,0,55,"apologize","that_S","active","negative","False","yes",7,"True","False",1,"matrix","apologize-that_S-active-negative-matrix"
"124",135,0,56,"devastate","that_S","passive","positive","False","yes",6,"True","False",1,"matrix","devastate-that_S-passive-positive-matrix"
"125",135,0,57,"demonstrate","that_S","active","negative","False","maybe",4,"True","False",0,"matrix","demonstrate-that_S-active-negative-matrix"
"126",135,0,58,"okay","that_S","active","positive","False","maybe",2,"True","False",0,"matrix","okay-that_S-active-positive-matrix"
"127",135,0,59,"reassert","that_S","active","positive","False","yes",6,"True","False",1,"matrix","reassert-that_S-active-positive-matrix"
"128",135,0,60,"loathe","that_S","active","negative","False","maybe",2,"True","False",0,"matrix","loathe-that_S-active-negative-matrix"
"129",135,0,61,"scare","that_S","passive","negative","False","yes",6,"True","False",1,"matrix","scare-that_S-passive-negative-matrix"
"130",135,0,62,"apologize","that_S","active","positive","False","yes",5,"True","False",1,"matrix","apologize-that_S-active-positive-matrix"
"131",135,0,63,"generalize","that_S","active","positive","False","maybe",5,"True","False",0,"matrix","generalize-that_S-active-positive-matrix"
"132",135,0,64,"omit","that_S","active","positive","False","yes",5,"True","False",1,"matrix","omit-that_S-active-positive-matrix"
"133",135,0,65,"affirm","that_S","active","positive","False","maybe",5,"True","False",0,"matrix","affirm-that_S-active-positive-matrix"
"134",135,0,66,"warn","that_S","active","negative","False","yes",5,"True","False",1,"matrix","warn-that_S-active-negative-matrix"
"135",135,0,67,"weep","that_S","active","positive","False","yes",5,"True","False",1,"matrix","weep-that_S-active-positive-matrix"
"136",135,0,68,"bark","that_S","active","negative","False","maybe",1,"True","False",0,"matrix","bark-that_S-active-negative-matrix"
"137",134,0,1,"surmise","that_S","active","positive","False","maybe",5,"True","False",0,"matrix","surmise-that_S-active-positive-matrix"
"138",134,0,2,"update","that_S","active","positive","False","yes",7,"True","False",1,"matrix","update-that_S-active-positive-matrix"
"139",134,0,3,"disregard","that_S","active","negative","False","maybe",3,"True","False",0,"matrix","disregard-that_S-active-negative-matrix"
"140",134,0,4,"agree","that_S","active","positive","False","yes",7,"True","False",1,"matrix","agree-that_S-active-positive-matrix"
"141",134,0,5,"surmise","that_S","active","negative","False","yes",4,"True","False",1,"matrix","surmise-that_S-active-negative-matrix"
"142",134,0,6,"evaluate","that_S","active","positive","False","yes",5,"True","False",1,"matrix","evaluate-that_S-active-positive-matrix"
"143",134,0,7,"remind","that_S","passive","negative","False","no",3,"True","False",-1,"matrix","remind-that_S-passive-negative-matrix"
"144",134,0,8,"vow","that_S","active","positive","False","maybe",5,"True","False",0,"matrix","vow-that_S-active-positive-matrix"
"145",134,0,9,"sing","that_S","active","negative","False","no",2,"True","False",-1,"matrix","sing-that_S-active-negative-matrix"
"146",134,0,10,"sob","that_S","active","positive","False","yes",6,"True","False",1,"matrix","sob-that_S-active-positive-matrix"
"147",134,0,11,"prove","that_S","active","negative","False","no",3,"True","False",-1,"matrix","prove-that_S-active-negative-matrix"
"148",134,0,12,"rediscover","that_S","active","positive","False","yes",5,"True","False",1,"matrix","rediscover-that_S-active-positive-matrix"
"149",134,0,13,"ascertain","that_S","active","positive","False","yes",7,"True","False",1,"matrix","ascertain-that_S-active-positive-matrix"
"150",134,0,14,"communicate","that_S","active","positive","False","yes",7,"True","False",1,"matrix","communicate-that_S-active-positive-matrix"
"151",134,0,15,"depress","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","depress-that_S-passive-positive-matrix"
"152",134,0,16,"radio","that_S","passive","negative","False","yes",5,"True","False",1,"matrix","radio-that_S-passive-negative-matrix"
"153",134,0,17,"volunteer","that_S","active","positive","False","maybe",2,"True","False",0,"matrix","volunteer-that_S-active-positive-matrix"
"154",134,0,18,"deny","that_S","active","positive","False","yes",7,"True","False",1,"matrix","deny-that_S-active-positive-matrix"
"155",134,0,19,"delight","that_S","passive","positive","False","yes",6,"True","False",1,"matrix","delight-that_S-passive-positive-matrix"
"156",134,0,20,"ensure","that_S","active","negative","False","no",3,"True","False",-1,"matrix","ensure-that_S-active-negative-matrix"
"157",134,0,21,"jar","that_S","passive","negative","False","no",3,"True","False",-1,"matrix","jar-that_S-passive-negative-matrix"
"158",134,0,22,"find_out","that_S","active","negative","False","yes",7,"True","False",1,"matrix","find_out-that_S-active-negative-matrix"
"159",134,0,23,"dislike","that_S","active","negative","False","maybe",3,"True","False",0,"matrix","dislike-that_S-active-negative-matrix"
"160",134,0,24,"disapprove","that_S","active","positive","False","yes",7,"True","False",1,"matrix","disapprove-that_S-active-positive-matrix"
"161",134,0,25,"forgive","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","forgive-that_S-passive-positive-matrix"
"162",134,0,26,"flip_out","that_S","active","positive","False","yes",6,"True","False",1,"matrix","flip_out-that_S-active-positive-matrix"
"163",134,0,27,"flatter","that_S","passive","positive","False","yes",6,"True","False",1,"matrix","flatter-that_S-passive-positive-matrix"
"164",134,0,28,"fake","that_S","active","positive","False","no",5,"True","False",-1,"matrix","fake-that_S-active-positive-matrix"
"165",134,0,29,"hearten","that_S","passive","negative","False","maybe",3,"True","False",0,"matrix","hearten-that_S-passive-negative-matrix"
"166",134,0,30,"imagine","that_S","active","negative","False","maybe",3,"True","False",0,"matrix","imagine-that_S-active-negative-matrix"
"167",134,0,31,"stimulate","that_S","passive","negative","False","yes",5,"True","False",1,"matrix","stimulate-that_S-passive-negative-matrix"
"168",134,0,32,"demand","that_S","active","positive","False","no",2,"True","False",-1,"matrix","demand-that_S-active-positive-matrix"
"169",134,0,33,"growl","that_S","active","negative","False","no",3,"True","False",-1,"matrix","growl-that_S-active-negative-matrix"
"170",134,0,34,"ruminate","that_S","active","negative","False","no",2,"True","False",-1,"matrix","ruminate-that_S-active-negative-matrix"
"171",134,0,35,"forgive","that_S","active","positive","False","yes",5,"True","False",1,"matrix","forgive-that_S-active-positive-matrix"
"172",134,0,36,"dismay","that_S","passive","negative","False","no",3,"True","False",-1,"matrix","dismay-that_S-passive-negative-matrix"
"173",134,0,37,"bet","that_S","passive","negative","False","yes",7,"True","False",1,"matrix","bet-that_S-passive-negative-matrix"
"174",134,0,38,"publicize","that_S","active","negative","False","yes",7,"True","False",1,"matrix","publicize-that_S-active-negative-matrix"
"175",134,0,39,"expose","that_S","active","positive","False","yes",5,"True","False",1,"matrix","expose-that_S-active-positive-matrix"
"176",134,0,40,"indicate","that_S","active","positive","False","yes",7,"True","False",1,"matrix","indicate-that_S-active-positive-matrix"
"177",134,0,41,"ruminate","that_S","active","positive","False","yes",7,"True","False",1,"matrix","ruminate-that_S-active-positive-matrix"
"178",134,0,42,"forecast","that_S","active","negative","False","no",3,"True","False",-1,"matrix","forecast-that_S-active-negative-matrix"
"179",134,0,43,"inform","that_S","passive","positive","False","yes",5,"True","False",1,"matrix","inform-that_S-passive-positive-matrix"
"180",134,0,44,"circulate","that_S","active","negative","False","yes",4,"True","False",1,"matrix","circulate-that_S-active-negative-matrix"
"181",134,0,45,"gall","that_S","passive","negative","False","yes",5,"True","False",1,"matrix","gall-that_S-passive-negative-matrix"
"182",134,0,46,"terrify","that_S","passive","positive","False","yes",5,"True","False",1,"matrix","terrify-that_S-passive-positive-matrix"
"183",134,0,47,"figure","that_S","active","positive","False","yes",7,"True","False",1,"matrix","figure-that_S-active-positive-matrix"
"184",134,0,48,"alarm","that_S","passive","negative","False","yes",5,"True","False",1,"matrix","alarm-that_S-passive-negative-matrix"
"185",134,0,49,"remember","that_S","active","positive","False","yes",5,"True","False",1,"matrix","remember-that_S-active-positive-matrix"
"186",134,0,50,"reminisce","that_S","active","negative","False","no",4,"True","False",-1,"matrix","reminisce-that_S-active-negative-matrix"
"187",134,0,51,"believe","that_S","active","positive","False","maybe",5,"True","False",0,"matrix","believe-that_S-active-positive-matrix"
"188",134,0,52,"clarify","that_S","active","positive","False","yes",5,"True","False",1,"matrix","clarify-that_S-active-positive-matrix"
"189",134,0,53,"fool","that_S","passive","positive","False","no",5,"True","False",-1,"matrix","fool-that_S-passive-positive-matrix"
"190",134,0,54,"email","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","email-that_S-passive-positive-matrix"
"191",134,0,55,"apologize","that_S","active","negative","False","yes",5,"True","False",1,"matrix","apologize-that_S-active-negative-matrix"
"192",134,0,56,"devastate","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","devastate-that_S-passive-positive-matrix"
"193",134,0,57,"demonstrate","that_S","active","negative","False","no",2,"True","False",-1,"matrix","demonstrate-that_S-active-negative-matrix"
"194",134,0,58,"okay","that_S","active","positive","False","maybe",3,"True","False",0,"matrix","okay-that_S-active-positive-matrix"
"195",134,0,59,"reassert","that_S","active","positive","False","yes",7,"True","False",1,"matrix","reassert-that_S-active-positive-matrix"
"196",134,0,60,"loathe","that_S","active","negative","False","no",4,"True","False",-1,"matrix","loathe-that_S-active-negative-matrix"
"197",134,0,61,"scare","that_S","passive","negative","False","yes",5,"True","False",1,"matrix","scare-that_S-passive-negative-matrix"
"198",134,0,62,"apologize","that_S","active","positive","False","yes",7,"True","False",1,"matrix","apologize-that_S-active-positive-matrix"
"199",134,0,63,"generalize","that_S","active","positive","False","maybe",4,"True","False",0,"matrix","generalize-that_S-active-positive-matrix"
"200",134,0,64,"omit","that_S","active","positive","False","yes",7,"True","False",1,"matrix","omit-that_S-active-positive-matrix"
"201",134,0,65,"affirm","that_S","active","positive","False","yes",7,"True","False",1,"matrix","affirm-that_S-active-positive-matrix"
"202",134,0,66,"warn","that_S","active","negative","False","maybe",3,"True","False",0,"matrix","warn-that_S-active-negative-matrix"
"203",134,0,67,"weep","that_S","active","positive","False","yes",7,"True","False",1,"matrix","weep-that_S-active-positive-matrix"
"204",134,0,68,"bark","that_S","active","negative","False","no",2,"True","False",-1,"matrix","bark-that_S-active-negative-matrix"
"205",217,0,1,"surmise","that_S","active","positive","False","yes",6,"True","False",1,"matrix","surmise-that_S-active-positive-matrix"
"206",217,0,2,"update","that_S","active","positive","False","yes",4,"True","False",1,"matrix","update-that_S-active-positive-matrix"
"207",217,0,3,"disregard","that_S","active","negative","False","yes",7,"True","False",1,"matrix","disregard-that_S-active-negative-matrix"
"208",217,0,4,"agree","that_S","active","positive","False","yes",7,"True","False",1,"matrix","agree-that_S-active-positive-matrix"
"209",217,0,5,"surmise","that_S","active","negative","False","yes",6,"True","False",1,"matrix","surmise-that_S-active-negative-matrix"
"210",217,0,6,"evaluate","that_S","active","positive","False","maybe",5,"True","False",0,"matrix","evaluate-that_S-active-positive-matrix"
"211",217,0,7,"remind","that_S","passive","negative","False","yes",6,"True","False",1,"matrix","remind-that_S-passive-negative-matrix"
"212",217,0,8,"vow","that_S","active","positive","False","maybe",6,"True","False",0,"matrix","vow-that_S-active-positive-matrix"
"213",217,0,9,"sing","that_S","active","negative","False","maybe",5,"True","False",0,"matrix","sing-that_S-active-negative-matrix"
"214",217,0,10,"sob","that_S","active","positive","False","yes",5,"True","False",1,"matrix","sob-that_S-active-positive-matrix"
"215",217,0,11,"prove","that_S","active","negative","False","maybe",6,"True","False",0,"matrix","prove-that_S-active-negative-matrix"
"216",217,0,12,"rediscover","that_S","active","positive","False","yes",5,"True","False",1,"matrix","rediscover-that_S-active-positive-matrix"
"217",217,0,13,"ascertain","that_S","active","positive","False","yes",7,"True","False",1,"matrix","ascertain-that_S-active-positive-matrix"
"218",217,0,14,"communicate","that_S","active","positive","False","yes",6,"True","False",1,"matrix","communicate-that_S-active-positive-matrix"
"219",217,0,15,"depress","that_S","passive","positive","False","yes",6,"True","False",1,"matrix","depress-that_S-passive-positive-matrix"
"220",217,0,16,"radio","that_S","passive","negative","False","yes",5,"True","False",1,"matrix","radio-that_S-passive-negative-matrix"
"221",217,0,17,"volunteer","that_S","active","positive","False","maybe",6,"True","False",0,"matrix","volunteer-that_S-active-positive-matrix"
"222",217,0,18,"deny","that_S","active","positive","False","yes",6,"True","False",1,"matrix","deny-that_S-active-positive-matrix"
"223",217,0,19,"delight","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","delight-that_S-passive-positive-matrix"
"224",217,0,20,"ensure","that_S","active","negative","False","maybe",5,"True","False",0,"matrix","ensure-that_S-active-negative-matrix"
"225",217,0,21,"jar","that_S","passive","negative","False","yes",6,"True","False",1,"matrix","jar-that_S-passive-negative-matrix"
"226",217,0,22,"find_out","that_S","active","negative","False","yes",5,"True","False",1,"matrix","find_out-that_S-active-negative-matrix"
"227",217,0,23,"dislike","that_S","active","negative","False","yes",6,"True","False",1,"matrix","dislike-that_S-active-negative-matrix"
"228",217,0,24,"disapprove","that_S","active","positive","False","yes",6,"True","False",1,"matrix","disapprove-that_S-active-positive-matrix"
"229",217,0,25,"forgive","that_S","passive","positive","False","yes",6,"True","False",1,"matrix","forgive-that_S-passive-positive-matrix"
"230",217,0,26,"flip_out","that_S","active","positive","False","yes",4,"True","False",1,"matrix","flip_out-that_S-active-positive-matrix"
